"GeneticGroup","GID","MCMDS","DM","PLTHT","BRNHT1","BRLVLS","HI","logFYLD","logTOPYLD","logRTNO","TCHART","LCHROMO","ACHROMO","BCHROMO"
"TMS14","TMS14F1280P0003:250303886",0.933062341308301,2.21979609483248,-20.2676857771716,-8.73192532302595,-0.402209102439353,0.0243349263740998,-0.0358487037265224,-0.226923563234497,-0.01640650687723,-0.462422915772367,0.955572293157957,-0.329017434678918,-5.37664254207608
"TMS14","TMS14F1280P0004:250303887",0.436314742133178,1.82487388126281,-28.9601633261959,-9.4473788346444,-0.439207789049272,0.0853921129489689,-0.0276612345033496,-0.298138213545574,-0.0369146365179254,-0.334395111397875,0.801507242351556,-0.457910421402552,-4.01577498955333
"TMS14","TMS14F1280P0005:250303888",0.17336071176638,4.20928536718139,-23.1198495282813,-10.7064863281578,-0.38993173005943,0.0311603736416621,-0.0420686997376477,-0.285161432482297,-0.0769231234448841,-0.498773906593305,1.2463922642376,-0.409488938633168,-4.7254919886513
"TMS14","TMS14F1280P0006:250303889",0.56118542461461,0.583420323017064,-25.0400047909358,-11.9139592455408,-0.29704603838069,0.0308178550313967,-0.00330673316144137,-0.190369901543375,-0.0756531610272683,-0.305660638881244,0.521770200204285,-0.139403545443574,-3.24905136184498
"TMS14","TMS14F1280P0007:250303890",0.280219598515312,1.3094836464601,-21.4622940825013,-9.0797980121134,-0.208386255794441,0.0334284770798422,-0.0641648028906415,-0.278803825789926,-0.058624180761494,-0.201225381444485,0.311937564513436,-0.0861305207537897,-2.61767081686692
"TMS14","TMS14F1280P0008:250303891",0.928979186094171,2.1957348375433,-15.8619976927295,-11.4008789531033,0.0210841874989421,-0.00860364227147178,-0.0709421887908992,-0.111833250751341,-0.124490796717346,-0.199868848205789,0.662736085074646,-0.297790978629109,-3.24232898681878
"TMS14","TMS14F1280P0009:250303892",0.289105657080071,0.301481485448808,-19.4907956302152,-6.33319708530087,-0.295518688675762,0.0733107333541603,0.0814586860154694,-0.23988340644594,-0.00831684569904817,-0.454679355451064,1.3191263958272,-0.506012520517989,-4.33320787864849
"TMS14","TMS14F1280P0011:250303894",0.25828202723089,0.143801275611306,-19.8820240203556,-8.24787389238011,-0.365533693595055,0.0403860712592453,-0.00670891748396407,-0.178504014169238,-0.0309071138158928,-0.381073535631596,0.494347213124223,-0.345005825378569,-4.58039088144191
"TMS14","TMS14F1280P0012:250303895",0.378992760184855,2.0377109796646,-22.5837853392406,-12.6666164211799,0.0922407916739171,0.0551774386922146,0.00218167611876466,-0.298760373537,0.0216537395933711,-0.316824310019274,0.781840517361459,-0.482610984873437,-3.69925378593641
"TMS14","TMS14F1280P0013:250303896",0.00868149957235271,3.15019953138548,-15.0312588807373,-0.70819666716857,-0.412250794550914,0.0116475065973369,-0.0688123232207943,-0.227149501831564,0.00890979851516301,-0.273336356407684,0.996147193277522,-0.50150840663564,-5.62075492614707
"TMS14","TMS14F1280P0014:250303897",0.680583829459997,1.8875145043018,-18.8270664345101,-9.57023778872059,-0.197900311234383,0.00180285816618747,-0.0452847883578651,-0.16744659648606,0.00258378768340219,-0.223144647506115,0.003922336472615,-0.00632562201699056,-2.72600709058653
